feature_set,repeat,n_subjects,macro_pairwise,subject_hit_rate,median_sep
TENGOD,0,23,0.562232574189096,0.5652173913043478,0.2882064560158277
TENGOD,1,23,0.5590924775707385,0.6521739130434783,0.5391266969983325
TENGOD,2,23,0.6293823326432022,0.6086956521739131,0.5759837399022671
TENGOD,3,23,0.6177881297446515,0.6956521739130435,0.5636263765911971
TENGOD,4,23,0.6532953761214632,0.6956521739130435,0.5039168066023207
TENGOD,5,23,0.5420117322291235,0.5652173913043478,0.3454370811690438
TENGOD,6,23,0.520928226363009,0.5217391304347826,0.19593252730015387
TENGOD,7,23,0.622135955831608,0.6521739130434783,0.5910176134878795
TENGOD,8,23,0.506400966183575,0.6086956521739131,0.13156569822002018
TENGOD,9,23,0.5803485162180814,0.5652173913043478,0.06969999270905203
TENGOD,10,23,0.5651311249137336,0.5217391304347826,0.2141918140072796
TENGOD,11,23,0.5907349896480332,0.6521739130434783,0.43938225211378723
TENGOD,12,23,0.6139233954451345,0.6086956521739131,0.23536422166954268
TENGOD,13,23,0.6281746031746033,0.6521739130434783,0.5898303219337897
TENGOD,14,23,0.6064354727398206,0.6521739130434783,0.3939418830816236
TENGOD,15,23,0.6243098688750862,0.6086956521739131,0.5526068994262476
TENGOD,16,23,0.5982229123533471,0.6086956521739131,0.2225599328095237
TENGOD,17,23,0.5762422360248448,0.6086956521739131,0.2934435743145711
TENGOD,18,23,0.620928226363009,0.6956521739130435,0.6247403502545986
TENGOD,19,23,0.6513630089717047,0.7391304347826086,0.6857948597359693
TENGOD,20,23,0.6426673567977916,0.6521739130434783,0.6084570052696229
TENGOD,21,23,0.6221359558316081,0.6521739130434783,0.6199057315171969
TENGOD,22,23,0.5542615596963423,0.5652173913043478,0.4673738602973112
TENGOD,23,23,0.56972049689441,0.6956521739130435,0.34880056602867615
TENGOD,24,23,0.6018461007591442,0.6086956521739131,0.13547408944903994
TENGOD,25,23,0.5639233954451346,0.6086956521739131,0.45507893981310044
TENGOD,26,23,0.6450828157349897,0.6956521739130435,0.4723317066989622
TENGOD,27,23,0.6414596273291926,0.6521739130434783,0.3561647636891494
TENGOD,28,23,0.5938750862663906,0.6521739130434783,0.2267693032429712
TENGOD,29,23,0.612232574189096,0.6521739130434783,0.39390949697753486
