subject_id,nested_pairwise,nested_hit,nested_sep,chosen_feature_set,inner_pairwise,control_pairwise,control_hit,control_sep,delta
MLV1_FA_002,0.0,0.0,-1.718904267612011,TENGOD,0.6274603174603175,0.5,1.0,0.5,-0.5
MLV1_FA_006,0.0,0.0,-6.425142036923061,YONGSHIN+UNSEONG,0.6200324675324675,1.0,1.0,7.0,-1.0
MLV1_FA_008,0.0,0.0,-4.061957472198469,TENGOD+SHINSAL,0.6448484848484849,1.0,1.0,2.5,-1.0
MLV1_FA_010,1.0,1.0,0.6849734195913475,TENGOD,0.5810173160173161,0.5,1.0,2.0,0.5
MLV1_FA_011,0.5,1.0,0.02105559661462375,YONGSHIN+SHINSAL,0.5825901875901875,0.5,0.0,-4.0,0.0
MLV1_FA_012,0.5,0.0,-0.20462351847007998,TENGOD,0.605414862914863,1.0,1.0,3.5,-0.5
MLV1_OLD_001,0.4,0.0,-1.707170344999436,YONGSHIN+UNSEONG,0.6260678210678211,0.45,1.0,0.6000000000000014,-0.04999999999999999
MLV1_OLD_002,0.9666666666666667,1.0,0.9876051245913589,TENGOD,0.5735064935064935,0.5333333333333333,1.0,1.3333333333333286,0.43333333333333335
MLV1_OLD_004,0.0,0.0,-3.2629862993400325,BASIC+TENGOD,0.6277308802308802,0.6666666666666666,1.0,2.0,-0.6666666666666666
MLV1_OLD_005,0.6666666666666666,0.0,-0.04307508618380218,TENGOD,0.6099855699855701,0.16666666666666666,0.0,-4.666666666666664,0.5
MLV1_OLD_006,0.65,1.0,0.6002943673885014,TENGOD,0.598495670995671,0.3,0.0,-5.900000000000006,0.35000000000000003
MLV1_OLD_015,0.9285714285714286,1.0,1.3242988988218172,TENGOD,0.5772222222222222,0.5,1.0,0.4285714285714306,0.4285714285714286
MLV1_OLD_016,0.5,0.0,-3.561651534779976,SHINSAL,0.6289033189033189,0.5,0.0,-2.5,0.0
MLV1_OLD_020,0.5,1.0,0.22825802611654733,TENGOD,0.5956168831168831,0.4166666666666667,0.0,-1.4166666666666714,0.08333333333333331
MLV1_OLD_023,0.0,0.0,-9.737026213955737,TENGOD+YONGSHIN,0.6869516594516594,1.0,1.0,12.0,-1.0
MLV1_OLD_026,1.0,1.0,1.215163580378575,TENGOD,0.5852128427128427,0.3333333333333333,0.0,-1.3333333333333428,0.6666666666666667
MLV1_OLD_054,0.6666666666666666,1.0,2.780031076603475,YONGSHIN+SHINSAL,0.5684271284271285,0.0,0.0,-11.0,0.6666666666666666
MLV1_OLD_055,0.5555555555555556,1.0,0.7612372306333486,YONGSHIN+SHINSAL,0.5724567099567099,0.2777777777777778,0.0,-4.333333333333343,0.2777777777777778
MLV1_PUB_005,1.0,1.0,0.9725449307327515,TENGOD,0.5909163059163058,1.0,1.0,11.5,0.0
MLV1_PUB_010,0.0,0.0,-2.8373213017340664,SHINSAL,0.6235822510822511,0.0,0.0,-14.5,0.0
MLV1_PUB_014,0.5,0.0,-0.8386269480222897,YONGSHIN+SHINSAL,0.6349170274170274,0.0,0.0,-15.5,0.5
MLV1_PUB_020,1.0,1.0,0.41798431303377903,SHINSAL,0.588982683982684,0.0,0.0,-6.0,1.0
MLV1_PUB_022,0.0,0.0,-3.0578948641944823,YONGSHIN,0.6361832611832613,0.5,0.0,-2.0,-0.5
